RESOLUCAO,BITRATE,QP,FPS,PSNR,SSIM,LPIPS,VMAF
34560000,93777.2,38,30,29.746532,0.56921625,,
34560000,279751.6,34,30,29.052145,0.6339454,,
34560000,142907.4,38,30,26.841732,0.5361446,,
34560000,100069.8,40,30,25.845009,0.48970988,,
34560000,1012683.0,25,30,34.881554,0.8421911,,
34560000,335462.4,33,30,29.474388,0.66436577,,
34560000,241164.2,35,30,28.310898,0.6156081,,
34560000,736252.2,25,30,35.191574,0.8666805,,
34560000,350579.6,30,30,31.900341,0.7539014,,
34560000,213320.6,33,30,30.150364,0.66655934,,
34560000,318001.6,30,30,33.720654,0.77016175,,
34560000,138083.2,36,30,30.631699,0.63118225,,
34560000,90746.8,39,30,29.230768,0.5607818,,
27648000,31076.0,27,24,40.0847,0.354679,,
27648000,21506.2,31,24,38.722416,0.3337722,,
27648000,14938.8,35,24,36.98562,0.27508244,,
27648000,14239.8,25,24,41.05257,0.3377285,,
27648000,8611.4,29,24,38.788452,0.2762127,,
27648000,6323.0,32,24,37.338963,0.25684828,,
27648000,13772.2,29,24,38.596153,0.42250863,,
27648000,9172.4,33,24,36.86525,0.37796852,,
27648000,7672.0,35,24,36.0244,0.35329825,,
27648000,22589.0,27,24,39.85156,0.34296373,,
27648000,16334.2,30,24,38.618183,0.31336644,,
27648000,10910.2,34,24,36.664127,0.25930944,,
27648000,41212.4,25,24,40.665062,0.49333936,,
27648000,23717.6,30,24,38.511086,0.43527943,,
27648000,17672.6,33,24,37.031075,0.4038008,,
27648000,34396.6,22,24,42.089764,0.42581177,,
27648000,17643.4,27,24,39.65678,0.3515244,,
27648000,13642.8,29,24,38.751274,0.33496612,,
27648000,54573.0,20,24,43.014492,0.42859563,,
27648000,26912.4,25,24,40.556683,0.38824946,,
27648000,13903.0,30,24,37.99109,0.3187322,,
27648000,80185.0,21,24,41.48732,0.54191333,,
27648000,47541.8,25,24,39.780476,0.4862404,,
27648000,32190.8,28,24,38.397778,0.43267795,,
27648000,41809.8,25,24,41.123127,0.32764497,,
27648000,17478.2,32,24,38.366352,0.24265067,,
